OrderID,OrderDate,Region,Country,Category,Sub-Category,Product,Quantity,UnitPrice,Discount,Sales,Profit
ORD101227,2023-01-08,South,Australia,Office Supplies,Pens,Pens Model 579,2,147.56,0.0,295.12,26.72
ORD100693,2023-01-08,South,Australia,Furniture,Tables,Tables Model 885,3,234.81,0.0,704.43,105.19
ORD100862,2023-01-08,North,UK,Furniture,Tables,Tables Model 347,2,49.19,0.05,98.38,3.91
ORD101816,2023-01-09,South,India,Technology,Computers,Computers Model 274,6,288.22,0.05,1729.32,130.16
ORD100275,2023-01-09,North,UK,Technology,Phones,Phones Model 579,5,203.88,0.0,1019.4,202.31
ORD100598,2023-01-09,West,Canada,Furniture,Chairs,Chairs Model 243,5,383.1,0.0,1915.5,254.84
ORD100718,2023-01-10,West,Canada,Technology,Computers,Computers Model 467,6,341.5,0.0,2049.0,373.32
ORD100989,2023-01-10,East,Japan,Technology,Phones,Phones Model 302,3,265.22,0.0,795.66,150.52
ORD101940,2023-01-10,South,Australia,Office Supplies,Pens,Pens Model 509,5,214.55,0.0,1072.75,142.81
ORD101099,2023-01-11,North,UK,Furniture,Chairs,Chairs Model 870,5,83.31,0.0,416.55,89.27
ORD101776,2023-01-11,West,USA,Technology,Computers,Computers Model 222,5,65.41,0.05,327.05,19.86
ORD101514,2023-01-11,South,Australia,Office Supplies,Paper,Paper Model 352,2,229.13,0.0,458.26,114.45
ORD101345,2023-01-11,West,USA,Furniture,Bookcases,Bookcases Model 749,4,22.77,0.0,91.08,9.15
ORD100512,2023-01-12,North,UK,Technology,Accessories,Accessories Model 102,2,313.19,0.1,626.38,60.52
ORD101399,2023-01-12,South,India,Furniture,Chairs,Chairs Model 830,7,324.81,0.0,2273.67,540.77
ORD100687,2023-01-12,South,India,Furniture,Tables,Tables Model 664,6,247.69,0.05,1486.14,303.41
ORD101844,2023-01-12,North,Norway,Office Supplies,Paper,Paper Model 586,4,359.99,0.0,1439.96,98.08
ORD101984,2023-01-12,West,USA,Technology,Accessories,Accessories Model 533,6,222.0,0.05,1332.0,276.97
ORD100993,2023-01-13,West,USA,Technology,Computers,Computers Model 782,5,222.71,0.0,1113.55,88.88
ORD101843,2023-01-14,West,Canada,Furniture,Chairs,Chairs Model 902,4,121.25,0.1,485.0,47.31
ORD100053,2023-01-14,South,Australia,Office Supplies,Pens,Pens Model 262,5,384.04,0.1,1920.2,102.98
ORD101921,2023-01-14,West,Canada,Furniture,Chairs,Chairs Model 456,4,234.81,0.1,939.24,174.17
ORD101059,2023-01-15,Central,Germany,Office Supplies,Binders,Binders Model 333,6,383.79,0.0,2302.74,365.08
ORD100138,2023-01-15,North,UK,Technology,Accessories,Accessories Model 714,3,392.61,0.1,1177.83,99.56
ORD100889,2023-01-15,West,Canada,Office Supplies,Binders,Binders Model 606,4,371.97,0.05,1487.88,103.68
ORD100097,2023-01-15,South,India,Technology,Phones,Phones Model 657,1,124.68,0.15,124.68,20.55
ORD101083,2023-01-15,South,Australia,Office Supplies,Pens,Pens Model 429,5,86.93,0.0,434.65,98.61
ORD101461,2023-01-16,South,Australia,Furniture,Tables,Tables Model 567,1,11.96,0.0,11.96,1.46
ORD101421,2023-01-16,East,Japan,Technology,Accessories,Accessories Model 883,4,427.62,0.0,1710.48,403.84
ORD100490,2023-01-16,South,India,Furniture,Bookcases,Bookcases Model 410,5,20.04,0.1,100.2,6.2
ORD100340,2023-01-17,East,Japan,Office Supplies,Binders,Binders Model 393,2,202.7,0.05,405.4,29.32
ORD101314,2023-01-17,East,China,Technology,Computers,Computers Model 660,4,410.01,0.0,1640.04,308.53
ORD101667,2023-01-17,North,UK,Furniture,Bookcases,Bookcases Model 101,5,348.52,0.05,1742.6,123.68
ORD101642,2023-01-17,North,Norway,Furniture,Tables,Tables Model 389,4,107.73,0.1,430.92,41.97
ORD101395,2023-01-17,East,China,Office Supplies,Paper,Paper Model 670,5,220.77,0.05,1103.85,157.8
ORD101375,2023-01-17,South,Australia,Office Supplies,Pens,Pens Model 445,6,172.27,0.0,1033.62,186.74
ORD100365,2023-01-18,South,India,Technology,Accessories,Accessories Model 467,5,410.02,0.1,2050.1,388.85
ORD101204,2023-01-18,Central,France,Office Supplies,Pens,Pens Model 836,6,263.0,0.05,1578.0,51.06
ORD100559,2023-01-19,East,Japan,Office Supplies,Paper,Paper Model 561,5,160.21,0.1,801.05,85.97
ORD101203,2023-01-19,West,Canada,Technology,Accessories,Accessories Model 214,3,326.35,0.0,979.05,176.93
ORD101541,2023-01-20,South,India,Furniture,Tables,Tables Model 254,1,74.12,0.0,74.12,14.07
ORD101973,2023-01-20,North,Norway,Technology,Computers,Computers Model 629,4,91.13,0.05,364.52,62.87
ORD100390,2023-01-20,West,USA,Office Supplies,Binders,Binders Model 317,5,252.56,0.0,1262.8,214.09
ORD101905,2023-01-21,Central,Germany,Furniture,Tables,Tables Model 346,5,406.53,0.05,2032.65,362.63
ORD100006,2023-01-21,East,Japan,Technology,Phones,Phones Model 253,2,54.6,0.0,109.2,14.07
ORD101714,2023-01-21,Central,Germany,Office Supplies,Binders,Binders Model 349,2,63.1,0.05,126.2,3.36
ORD100047,2023-01-21,East,Japan,Technology,Accessories,Accessories Model 287,3,510.91,0.0,1532.73,179.1
ORD100319,2023-01-22,North,UK,Office Supplies,Binders,Binders Model 708,6,359.02,0.05,2154.12,247.85
ORD101671,2023-01-22,East,China,Furniture,Tables,Tables Model 524,7,406.49,0.1,2845.43,325.95
ORD101838,2023-01-22,Central,France,Furniture,Chairs,Chairs Model 329,3,185.43,0.05,556.29,111.17
ORD100029,2023-01-22,East,Japan,Office Supplies,Binders,Binders Model 841,3,188.77,0.0,566.31,52.69
ORD101707,2023-01-22,West,Canada,Technology,Computers,Computers Model 314,7,301.5,0.05,2110.5,131.64
ORD101041,2023-01-23,West,USA,Technology,Computers,Computers Model 358,2,334.88,0.05,669.76,88.24
ORD100480,2023-01-23,West,Canada,Furniture,Chairs,Chairs Model 248,3,300.02,0.0,900.06,164.19
ORD101104,2023-01-23,West,USA,Office Supplies,Binders,Binders Model 687,3,268.35,0.05,805.05,128.69
ORD100745,2023-01-23,East,Japan,Furniture,Tables,Tables Model 912,1,147.12,0.0,147.12,25.48
ORD101877,2023-01-24,South,Australia,Office Supplies,Pens,Pens Model 700,4,353.9,0.1,1415.6,190.89
ORD101164,2023-01-25,Central,Germany,Technology,Accessories,Accessories Model 304,4,133.04,0.05,532.16,114.52
ORD101381,2023-01-25,East,Japan,Technology,Computers,Computers Model 249,1,87.89,0.05,87.89,7.12
ORD100905,2023-01-25,West,USA,Technology,Computers,Computers Model 489,7,16.59,0.0,116.13,21.15
ORD100577,2023-01-25,West,Canada,Technology,Computers,Computers Model 118,6,481.36,0.1,2888.16,281.94
ORD100965,2023-01-26,West,USA,Office Supplies,Paper,Paper Model 947,6,48.83,0.0,292.98,29.22
ORD100860,2023-01-26,East,Japan,Office Supplies,Binders,Binders Model 652,5,302.2,0.0,1511.0,256.87
ORD100327,2023-01-27,East,China,Office Supplies,Binders,Binders Model 191,6,199.36,0.0,1196.16,134.49
ORD101739,2023-01-27,North,UK,Office Supplies,Pens,Pens Model 704,6,49.65,0.0,297.9,43.96
ORD101322,2023-01-27,East,China,Office Supplies,Pens,Pens Model 592,3,289.15,0.05,867.45,101.9
ORD100893,2023-01-28,West,USA,Office Supplies,Paper,Paper Model 874,5,268.24,0.0,1341.2,104.05
ORD101927,2023-01-28,North,UK,Furniture,Chairs,Chairs Model 752,4,11.9,0.1,47.6,1.62
ORD100873,2023-01-28,North,Norway,Furniture,Tables,Tables Model 145,6,465.65,0.0,2793.9,144.62
ORD100116,2023-01-28,West,Canada,Technology,Phones,Phones Model 143,3,236.47,0.0,709.41,139.92
ORD100163,2023-01-28,West,USA,Technology,Phones,Phones Model 744,8,74.73,0.1,597.84,53.01
ORD101303,2023-01-29,West,USA,Technology,Phones,Phones Model 702,2,364.15,0.0,728.3,128.46
ORD101476,2023-01-29,West,Canada,Office Supplies,Pens,Pens Model 407,3,266.14,0.05,798.42,39.29
ORD101686,2023-01-29,East,China,Furniture,Tables,Tables Model 943,3,298.69,0.05,896.07,30.24
ORD101125,2023-01-29,West,USA,Office Supplies,Paper,Paper Model 216,3,83.41,0.1,250.23,34.77
ORD101342,2023-01-29,West,Canada,Furniture,Chairs,Chairs Model 885,6,163.17,0.0,979.02,120.27
ORD100612,2023-01-29,Central,France,Office Supplies,Binders,Binders Model 194,3,145.65,0.0,436.95,62.79
ORD101620,2023-01-31,West,Canada,Office Supplies,Binders,Binders Model 244,5,21.36,0.05,106.8,3.01
ORD101194,2023-02-01,Central,Germany,Furniture,Chairs,Chairs Model 967,9,365.67,0.1,3291.03,15.67
ORD101687,2023-02-02,South,India,Office Supplies,Pens,Pens Model 654,7,266.14,0.0,1862.98,274.97
ORD100119,2023-02-02,North,UK,Technology,Computers,Computers Model 618,3,13.03,0.0,39.09,7.01
ORD100314,2023-02-02,South,India,Office Supplies,Paper,Paper Model 633,9,336.34,0.1,3027.06,434.65
ORD100762,2023-02-03,Central,France,Office Supplies,Paper,Paper Model 173,5,206.52,0.05,1032.6,72.87
ORD101313,2023-02-03,South,Australia,Office Supplies,Pens,Pens Model 450,5,497.4,0.0,2487.0,417.49
ORD100916,2023-02-03,Central,France,Furniture,Chairs,Chairs Model 137,5,282.74,0.1,1413.7,92.88
ORD100517,2023-02-04,Central,Germany,Furniture,Tables,Tables Model 820,3,140.55,0.1,421.65,30.34
ORD100063,2023-02-04,East,China,Office Supplies,Paper,Paper Model 358,4,343.53,0.0,1374.12,168.66
ORD101977,2023-02-04,Central,France,Office Supplies,Binders,Binders Model 731,2,145.66,0.0,291.32,20.09
ORD101869,2023-02-04,North,UK,Office Supplies,Pens,Pens Model 868,6,171.65,0.1,1029.9,68.96
ORD100388,2023-02-05,East,China,Furniture,Bookcases,Bookcases Model 437,5,278.72,0.0,1393.6,96.72
ORD100152,2023-02-05,East,China,Office Supplies,Pens,Pens Model 768,3,139.84,0.0,419.52,67.41
ORD100349,2023-02-06,North,UK,Office Supplies,Pens,Pens Model 560,2,220.8,0.05,441.6,48.62
ORD101580,2023-02-06,South,Australia,Technology,Computers,Computers Model 843,5,143.58,0.05,717.9,88.24
ORD101660,2023-02-06,North,UK,Office Supplies,Binders,Binders Model 386,3,242.9,0.0,728.7,97.87
ORD100273,2023-02-06,South,India,Furniture,Bookcases,Bookcases Model 679,3,3.33,0.0,9.99,0.94
ORD100546,2023-02-06,North,UK,Technology,Accessories,Accessories Model 169,5,199.38,0.0,996.9,228.42
ORD101574,2023-02-07,South,Australia,Furniture,Chairs,Chairs Model 412,5,124.55,0.0,622.75,107.48
ORD100321,2023-02-07,Central,France,Technology,Phones,Phones Model 131,4,37.36,0.1,149.44,5.38
ORD101050,2023-02-08,East,Japan,Office Supplies,Paper,Paper Model 968,6,134.14,0.0,804.84,183.13
ORD101475,2023-02-08,East,Japan,Technology,Accessories,Accessories Model 780,8,289.54,0.0,2316.32,251.25
ORD100381,2023-02-08,East,Japan,Technology,Accessories,Accessories Model 811,1,66.28,0.0,66.28,7.24
ORD101700,2023-02-08,East,Japan,Office Supplies,Binders,Binders Model 893,4,375.05,0.05,1500.2,220.69
ORD100636,2023-02-08,North,Norway,Technology,Phones,Phones Model 645,3,119.58,0.0,358.74,60.22
ORD100895,2023-02-08,East,China,Furniture,Chairs,Chairs Model 351,2,230.26,0.1,460.52,42.92
ORD101382,2023-02-08,West,Canada,Furniture,Tables,Tables Model 391,5,229.9,0.0,1149.5,147.16
ORD100584,2023-02-08,East,China,Technology,Accessories,Accessories Model 944,4,96.73,0.1,386.92,56.2
ORD101453,2023-02-08,South,Australia,Technology,Accessories,Accessories Model 569,4,273.53,0.0,1094.12,186.48
ORD101995,2023-02-08,South,India,Technology,Accessories,Accessories Model 752,4,92.8,0.05,371.2,77.19
ORD101585,2023-02-09,South,Australia,Office Supplies,Binders,Binders Model 779,3,162.02,0.05,486.06,57.72
ORD100947,2023-02-09,South,India,Office Supplies,Pens,Pens Model 996,2,367.64,0.05,735.28,58.98
ORD101594,2023-02-09,East,China,Furniture,Tables,Tables Model 102,2,217.64,0.0,435.28,105.08
ORD101595,2023-02-09,Central,France,Technology,Accessories,Accessories Model 474,6,338.06,0.1,2028.36,212.87
ORD101568,2023-02-09,North,UK,Office Supplies,Binders,Binders Model 978,3,433.01,0.0,1299.03,80.79
ORD100703,2023-02-10,North,Norway,Office Supplies,Pens,Pens Model 601,4,309.4,0.0,1237.6,225.62
ORD100095,2023-02-10,North,UK,Furniture,Tables,Tables Model 238,4,389.03,0.0,1556.12,324.46
ORD101312,2023-02-10,West,Canada,Technology,Computers,Computers Model 290,3,207.75,0.0,623.25,100.06
ORD100115,2023-02-10,South,Australia,Technology,Computers,Computers Model 248,4,450.34,0.0,1801.36,330.32
ORD101031,2023-02-11,East,China,Technology,Computers,Computers Model 391,2,118.44,0.0,236.88,35.85
ORD101310,2023-02-11,East,China,Office Supplies,Paper,Paper Model 203,6,306.15,0.0,1836.9,376.95
ORD100587,2023-02-11,North,Norway,Technology,Accessories,Accessories Model 526,4,318.37,0.1,1273.48,65.37
ORD101380,2023-02-11,South,Australia,Office Supplies,Binders,Binders Model 577,5,85.5,0.15,427.5,10.03
ORD100508,2023-02-12,West,Canada,Office Supplies,Pens,Pens Model 765,4,296.65,0.0,1186.6,132.04
ORD100814,2023-02-12,East,Japan,Office Supplies,Binders,Binders Model 478,1,61.76,0.0,61.76,13.88
ORD101394,2023-02-13,West,Canada,Furniture,Chairs,Chairs Model 513,1,232.72,0.0,232.72,31.6
ORD101788,2023-02-15,Central,France,Office Supplies,Binders,Binders Model 800,4,193.78,0.0,775.12,64.82
ORD100844,2023-02-15,West,Canada,Furniture,Bookcases,Bookcases Model 531,4,225.71,0.0,902.84,89.65
ORD101638,2023-02-15,West,Canada,Technology,Computers,Computers Model 259,4,325.15,0.0,1300.6,150.29
ORD100345,2023-02-15,East,China,Furniture,Tables,Tables Model 156,3,183.04,0.0,549.12,51.65
ORD100467,2023-02-16,North,Norway,Technology,Computers,Computers Model 291,3,374.78,0.0,1124.34,280.97
ORD100675,2023-02-16,West,Canada,Office Supplies,Paper,Paper Model 494,4,55.66,0.0,222.64,32.46
ORD100424,2023-02-16,South,Australia,Furniture,Chairs,Chairs Model 738,4,232.95,0.15,931.8,4.26
ORD101536,2023-02-16,East,China,Furniture,Chairs,Chairs Model 856,4,341.71,0.0,1366.84,209.64
ORD101088,2023-02-16,South,Australia,Office Supplies,Paper,Paper Model 987,6,348.3,0.1,2089.8,114.07
ORD101419,2023-02-16,South,Australia,Furniture,Chairs,Chairs Model 154,6,402.87,0.05,2417.22,279.12
ORD100850,2023-02-16,South,India,Technology,Accessories,Accessories Model 354,4,111.53,0.0,446.12,74.36
ORD100857,2023-02-17,South,India,Technology,Computers,Computers Model 444,2,271.87,0.0,543.74,89.5
ORD100120,2023-02-17,South,India,Office Supplies,Pens,Pens Model 875,5,184.51,0.05,922.55,110.49
ORD101176,2023-02-18,East,China,Technology,Computers,Computers Model 186,7,84.06,0.1,588.42,2.27
ORD100338,2023-02-18,Central,France,Office Supplies,Binders,Binders Model 568,3,488.52,0.0,1465.56,154.4
ORD101235,2023-02-20,West,USA,Technology,Phones,Phones Model 730,3,145.21,0.0,435.63,78.3
ORD100831,2023-02-20,East,China,Furniture,Bookcases,Bookcases Model 892,3,302.33,0.1,906.99,22.95
ORD101124,2023-02-20,North,UK,Office Supplies,Binders,Binders Model 325,2,238.51,0.0,477.02,119.22
ORD100400,2023-02-20,East,China,Technology,Phones,Phones Model 582,2,59.8,0.1,119.6,4.7
ORD100756,2023-02-20,East,Japan,Furniture,Chairs,Chairs Model 134,2,445.2,0.05,890.4,34.96
ORD100221,2023-02-22,Central,France,Furniture,Bookcases,Bookcases Model 701,5,98.08,0.05,490.4,15.38
ORD100810,2023-02-22,West,Canada,Technology,Accessories,Accessories Model 376,2,278.88,0.05,557.76,22.08
ORD100090,2023-02-22,Central,Germany,Furniture,Tables,Tables Model 494,4,483.71,0.0,1934.84,284.65
ORD101275,2023-02-22,East,Japan,Office Supplies,Binders,Binders Model 729,3,222.93,0.1,668.79,127.83
ORD100417,2023-02-22,East,China,Technology,Computers,Computers Model 884,4,149.98,0.15,599.92,48.96
ORD100774,2023-02-23,North,UK,Office Supplies,Paper,Paper Model 721,3,43.6,0.0,130.8,13.56
ORD100413,2023-02-23,East,China,Technology,Accessories,Accessories Model 375,4,109.53,0.05,438.12,93.8
ORD100283,2023-02-23,Central,Germany,Technology,Accessories,Accessories Model 791,3,371.69,0.0,1115.07,148.49
ORD101231,2023-02-23,Central,France,Office Supplies,Binders,Binders Model 736,5,192.06,0.0,960.3,111.93
ORD101535,2023-02-23,South,India,Office Supplies,Binders,Binders Model 863,4,70.21,0.0,280.84,65.14
ORD101216,2023-02-24,East,China,Office Supplies,Pens,Pens Model 947,4,539.63,0.0,2158.52,479.38
ORD101353,2023-02-24,South,Australia,Technology,Accessories,Accessories Model 756,2,338.36,0.0,676.72,57.2
ORD101222,2023-02-24,West,USA,Furniture,Tables,Tables Model 213,4,54.17,0.0,216.68,29.33
ORD100869,2023-02-25,North,Norway,Technology,Accessories,Accessories Model 628,2,256.36,0.05,512.72,36.3
ORD100854,2023-02-25,East,China,Office Supplies,Paper,Paper Model 911,4,287.58,0.0,1150.32,115.96
ORD100659,2023-02-27,North,UK,Furniture,Bookcases,Bookcases Model 775,4,100.15,0.0,400.6,34.55
ORD100643,2023-02-27,North,Norway,Office Supplies,Pens,Pens Model 184,3,290.75,0.0,872.25,178.17
ORD100442,2023-02-27,South,Australia,Office Supplies,Paper,Paper Model 470,5,42.63,0.1,213.15,0.43
ORD100435,2023-02-27,East,China,Technology,Phones,Phones Model 358,7,88.35,0.1,618.45,84.52
ORD101980,2023-02-28,North,UK,Technology,Phones,Phones Model 219,3,189.2,0.1,567.6,27.83
ORD100033,2023-02-28,Central,France,Office Supplies,Pens,Pens Model 954,4,338.2,0.05,1352.8,45.1
ORD101284,2023-02-28,North,Norway,Technology,Computers,Computers Model 844,2,277.87,0.05,555.74,18.99
ORD101866,2023-02-28,East,China,Technology,Phones,Phones Model 997,3,153.88,0.0,461.64,78.51
ORD101732,2023-03-01,East,Japan,Office Supplies,Paper,Paper Model 405,4,390.82,0.05,1563.28,350.1
ORD101507,2023-03-02,South,India,Office Supplies,Pens,Pens Model 828,5,200.86,0.0,1004.3,163.48
ORD101378,2023-03-02,North,UK,Office Supplies,Pens,Pens Model 844,5,349.63,0.1,1748.15,93.94
ORD100829,2023-03-02,West,USA,Technology,Accessories,Accessories Model 891,4,482.99,0.0,1931.96,194.45
ORD100553,2023-03-03,South,Australia,Office Supplies,Paper,Paper Model 336,2,314.22,0.15,628.44,82.78
ORD101546,2023-03-03,Central,France,Office Supplies,Paper,Paper Model 152,1,73.93,0.15,73.93,2.52
ORD101515,2023-03-03,Central,Germany,Office Supplies,Pens,Pens Model 331,3,235.63,0.05,706.89,76.68
ORD101184,2023-03-04,North,UK,Furniture,Chairs,Chairs Model 703,4,625.76,0.05,2503.04,548.13
ORD100730,2023-03-04,North,UK,Office Supplies,Pens,Pens Model 843,5,93.96,0.15,469.8,12.93
ORD100104,2023-03-04,Central,France,Furniture,Chairs,Chairs Model 784,2,92.61,0.1,185.22,8.97
ORD101171,2023-03-04,North,Norway,Technology,Accessories,Accessories Model 661,9,325.7,0.0,2931.3,525.64
ORD101764,2023-03-05,South,India,Technology,Computers,Computers Model 116,5,420.21,0.0,2101.05,381.03
ORD100098,2023-03-06,East,Japan,Furniture,Tables,Tables Model 794,3,110.65,0.0,331.95,49.28
ORD100724,2023-03-06,West,Canada,Technology,Phones,Phones Model 680,7,289.36,0.0,2025.52,163.27
ORD101928,2023-03-07,North,Norway,Office Supplies,Paper,Paper Model 676,5,233.95,0.0,1169.75,101.77
ORD100908,2023-03-08,South,India,Furniture,Bookcases,Bookcases Model 882,2,129.16,0.0,258.32,24.56
ORD100466,2023-03-10,South,Australia,Technology,Computers,Computers Model 795,2,441.87,0.0,883.74,212.88
ORD100808,2023-03-10,East,China,Technology,Phones,Phones Model 583,5,61.82,0.0,309.1,47.1
ORD101357,2023-03-10,North,Norway,Office Supplies,Pens,Pens Model 479,3,240.58,0.0,721.74,91.97
ORD100574,2023-03-10,West,Canada,Office Supplies,Paper,Paper Model 266,4,248.79,0.0,995.16,198.71
ORD101097,2023-03-10,Central,France,Office Supplies,Paper,Paper Model 466,3,178.01,0.05,534.03,70.18
ORD100627,2023-03-11,West,Canada,Office Supplies,Binders,Binders Model 528,3,239.07,0.0,717.21,117.21
ORD101767,2023-03-13,North,UK,Office Supplies,Binders,Binders Model 742,5,256.09,0.0,1280.45,113.09
ORD100765,2023-03-13,West,USA,Office Supplies,Pens,Pens Model 886,3,316.02,0.0,948.06,77.41
ORD100004,2023-03-13,Central,Germany,Technology,Computers,Computers Model 921,5,341.23,0.0,1706.15,271.51
ORD101817,2023-03-14,East,Japan,Office Supplies,Binders,Binders Model 959,5,200.73,0.0,1003.65,113.42
ORD101372,2023-03-14,South,Australia,Technology,Computers,Computers Model 356,6,192.96,0.0,1157.76,206.29
ORD100848,2023-03-14,Central,Germany,Office Supplies,Binders,Binders Model 198,2,324.72,0.15,649.44,-9.2
ORD100599,2023-03-15,Central,France,Office Supplies,Paper,Paper Model 667,5,203.43,0.05,1017.15,219.35
ORD101153,2023-03-16,East,China,Office Supplies,Binders,Binders Model 617,3,196.82,0.05,590.46,60.66
ORD100954,2023-03-16,Central,France,Office Supplies,Pens,Pens Model 202,3,125.34,0.0,376.02,24.36
ORD100529,2023-03-16,North,Norway,Technology,Accessories,Accessories Model 835,3,330.74,0.0,992.22,130.34
ORD100783,2023-03-16,South,India,Office Supplies,Binders,Binders Model 327,9,91.27,0.0,821.43,43.06
ORD101703,2023-03-16,West,Canada,Office Supplies,Pens,Pens Model 904,5,373.36,0.0,1866.8,293.66
ORD101307,2023-03-16,South,Australia,Furniture,Tables,Tables Model 915,2,385.52,0.1,771.04,10.33
ORD100565,2023-03-17,Central,Germany,Office Supplies,Pens,Pens Model 551,3,425.06,0.0,1275.18,132.08
ORD100458,2023-03-17,South,Australia,Technology,Phones,Phones Model 942,4,166.86,0.0,667.44,160.86
ORD101242,2023-03-19,North,Norway,Office Supplies,Binders,Binders Model 373,2,385.41,0.1,770.82,38.19
ORD101026,2023-03-19,West,Canada,Office Supplies,Paper,Paper Model 826,4,223.6,0.0,894.4,215.53
ORD100874,2023-03-19,North,Norway,Office Supplies,Pens,Pens Model 428,3,125.76,0.0,377.28,45.18
ORD100846,2023-03-19,West,Canada,Furniture,Chairs,Chairs Model 588,4,476.3,0.0,1905.2,141.59
ORD100753,2023-03-19,South,India,Office Supplies,Binders,Binders Model 618,1,95.68,0.0,95.68,16.03
ORD101689,2023-03-20,North,UK,Technology,Phones,Phones Model 154,3,119.94,0.0,359.82,41.98
ORD100665,2023-03-21,South,Australia,Technology,Phones,Phones Model 462,5,219.53,0.0,1097.65,224.37
ORD100065,2023-03-22,North,Norway,Furniture,Tables,Tables Model 605,3,267.86,0.0,803.58,124.94
ORD101405,2023-03-22,East,China,Office Supplies,Paper,Paper Model 412,3,219.72,0.0,659.16,138.53
ORD100801,2023-03-22,North,UK,Office Supplies,Pens,Pens Model 505,7,204.67,0.0,1432.69,292.27
ORD100209,2023-03-22,West,Canada,Furniture,Tables,Tables Model 819,2,321.94,0.05,643.88,30.47
ORD101629,2023-03-23,North,Norway,Office Supplies,Binders,Binders Model 340,4,260.39,0.0,1041.56,193.55
ORD101262,2023-03-23,North,Norway,Office Supplies,Paper,Paper Model 167,8,436.36,0.1,3490.88,72.46
ORD100750,2023-03-24,South,India,Technology,Accessories,Accessories Model 400,6,155.96,0.0,935.76,67.79
ORD101706,2023-03-25,East,Japan,Office Supplies,Pens,Pens Model 409,3,160.47,0.0,481.41,103.73
ORD101716,2023-03-25,East,China,Office Supplies,Paper,Paper Model 764,3,297.13,0.05,891.39,40.67
ORD101827,2023-03-25,West,USA,Furniture,Tables,Tables Model 958,6,302.15,0.0,1812.9,419.92
ORD101177,2023-03-25,East,Japan,Office Supplies,Binders,Binders Model 168,4,98.59,0.0,394.36,32.65
ORD101834,2023-03-25,West,Canada,Furniture,Chairs,Chairs Model 717,3,71.88,0.0,215.64,31.99
ORD101924,2023-03-25,Central,France,Office Supplies,Pens,Pens Model 973,4,1.99,0.05,7.96,1.43
ORD100752,2023-03-26,South,India,Office Supplies,Pens,Pens Model 680,4,541.91,0.0,2167.64,520.47
ORD101255,2023-03-26,South,India,Technology,Computers,Computers Model 946,3,439.6,0.0,1318.8,140.04
ORD100898,2023-03-27,West,Canada,Office Supplies,Binders,Binders Model 434,5,239.47,0.0,1197.35,160.99
